path flow name node_id
1:1:1 0.0274414 "8" 8
1:1:2 0.0233382 "0" 0
1:1:3 0.00997141 "1" 1
1:1:4 5.47717e-05 "166" 166
1:1:5 2.73859e-05 "134" 134
1:1:6 1.34773e-05 "189" 189
1:1:7 1.34773e-05 "209" 209
1:2:1 0.013789 "11" 11
1:2:2 0.011968 "27" 27
1:2:3 0.0107298 "4" 4
1:2:4 0.00442296 "29" 29
1:2:5 0.00194259 "28" 28
1:2:6 0.000320941 "77" 77
1:2:7 0.000247359 "2" 2
1:2:8 4.46472e-05 "64" 64
1:2:9 2.86296e-05 "31" 31
1:2:10 0 "88" 88
1:3:1 0.0410966 "47" 47
1:4:1 0.0186757 "35" 35
1:5:1 0.0174405 "40" 40
1:6:1 0.0173954 "69" 69
1:7:1 0.0151466 "16" 16
1:8:1 0.0148155 "26" 26
1:9:1 0.014032 "51" 51
1:10:1 0.0140115 "79" 79
1:11:1 0.0105829 "10" 10
1:11:2 0.00147157 "7" 7
1:11:3 0.000674686 "24" 24
1:11:4 0.000356608 "18" 18
1:11:5 0.000253275 "5" 5
1:11:6 9.9995e-05 "25" 25
1:12:1 0.0134323 "22" 22
1:12:2 0 "148" 148
1:13:1 0.0134133 "81" 81
1:14:1 0.013311 "46" 46
1:15:1 0.0130312 "50" 50
1:16:1 0.0129288 "41" 41
1:17:1 0.0125884 "6" 6
1:17:2 7.95582e-05 "162" 162
1:18:1 0.0120346 "34" 34
1:19:1 0.0119971 "17" 17
1:20:1 0.0112895 "135" 135
1:21:1 0.011226 "15" 15
1:22:1 0.0111985 "128" 128
1:23:1 0.0110452 "82" 82
1:24:1 0.0110446 "56" 56
1:25:1 0.0106342 "54" 54
1:26:1 0.0105137 "102" 102
1:27:1 0.0104773 "74" 74
1:28:1 0.0104064 "78" 78
1:29:1 0.010162 "57" 57
1:30:1 0.0101188 "96" 96
1:31:1 0.0100544 "55" 55
1:32:1 0.0099006 "142" 142
1:33:1 0.00977883 "133" 133
1:34:1 0.0096033 "149" 149
