source target weight
0 0 393
1 0 244
2 0 2
3 0 1
4 0 39
5 0 1
6 0 2
7 0 1
8 0 123
10 0 14
11 0 28
12 0 14
13 0 12
14 0 2
15 0 3
16 0 4
18 0 3
19 0 13
20 0 68
22 0 22
23 0 14
24 0 5
27 0 12
28 0 4
29 0 6
30 0 4
31 0 1
32 0 2
33 0 2
34 0 4
40 0 1
41 0 1
44 0 1
46 0 1
47 0 1
53 0 2
54 0 1
60 0 2
62 0 1
70 0 1
71 0 1
75 0 1
77 0 1
82 0 1
85 0 1
93 0 1
96 0 1
104 0 1
118 0 1
119 0 1
149 0 1
170 0 1
0 1 113
1 1 393
4 1 8
8 1 11
9 1 1
10 1 4
11 1 4
12 1 3
13 1 6
14 1 7
19 1 4
20 1 1
22 1 8
24 1 3
25 1 1
30 1 2
32 1 3
33 1 12
34 1 2
37 1 1
43 1 1
60 1 1
77 1 1
93 1 1
125 1 1
0 2 1
2 2 3
11 2 4
13 2 3
27 2 1
35 2 1
0 3 3
3 3 68
4 3 1
6 3 5
7 3 3
10 3 16
11 3 1
12 3 3
13 3 7
24 3 1
25 3 1
67 3 1
75 3 2
85 3 3
0 4 18
1 4 2
3 4 1
4 4 139
5 4 1
6 4 1
7 4 5
8 4 11
10 4 19
11 4 92
13 4 28
15 4 1
16 4 5
22 4 8
23 4 1
24 4 3
25 4 1
27 4 76
28 4 13
29 4 19
30 4 1
32 4 1
35 4 41
42 4 1
69 4 9
70 4 4
88 4 1
93 4 2
0 5 1
5 5 6
6 5 1
7 5 1
10 5 2
11 5 1
13 5 1
27 5 1
75 5 1
1 6 2
3 6 3
4 6 3
5 6 2
6 6 364
7 6 25
8 6 1
9 6 4
10 6 33
12 6 4
13 6 22
22 6 2
24 6 9
26 6 1
27 6 1
42 6 1
63 6 2
70 6 1
75 6 1
97 6 1
162 6 1
0 7 1
3 7 1
4 7 16
6 7 3
7 7 10
8 7 1
9 7 1
10 7 12
11 7 7
12 7 12
13 7 3
18 7 3
22 7 2
24 7 8
27 7 3
85 7 1
0 8 223
1 8 103
2 8 3
3 8 1
4 8 81
5 8 4
6 8 7
7 8 12
8 8 393
10 8 51
11 8 64
12 8 81
13 8 16
14 8 1
15 8 5
16 8 5
18 8 2
19 8 12
20 8 13
22 8 26
23 8 4
24 8 13
25 8 1
26 8 2
27 8 40
28 8 2
29 8 32
30 8 1
34 8 3
35 8 2
39 8 1
40 8 1
42 8 4
53 8 15
58 8 2
60 8 1
63 8 3
69 8 1
70 8 3
75 8 2
76 8 1
83 8 1
104 8 1
115 8 2
134 8 1
0 9 1
6 9 3
8 9 1
9 9 187
10 9 10
13 9 3
24 9 1
0 10 12
1 10 6
3 10 9
4 10 23
5 10 8
6 10 22
7 10 10
8 10 50
9 10 31
10 10 187
11 10 11
12 10 6
13 10 22
15 10 1
22 10 9
24 10 3
26 10 1
27 10 14
28 10 1
29 10 8
32 10 1
34 10 1
35 10 1
39 10 1
42 10 5
46 10 4
47 10 3
53 10 1
56 10 3
70 10 1
77 10 1
78 10 1
81 10 2
85 10 2
102 10 1
115 10 1
149 10 1
154 10 1
0 11 14
1 11 1
2 11 22
3 11 1
4 11 155
5 11 1
6 11 1
7 11 4
8 11 12
10 11 21
11 11 215
12 11 4
13 11 13
16 11 1
18 11 2
22 11 7
23 11 1
24 11 4
25 11 1
27 11 117
28 11 10
29 11 45
33 11 2
35 11 13
64 11 1
69 11 7
70 11 13
76 11 1
77 11 3
98 11 1
120 11 1
0 12 5
1 12 2
3 12 1
4 12 2
5 12 1
6 12 4
7 12 1
8 12 11
10 12 10
12 12 103
13 12 13
22 12 8
24 12 1
50 12 1
51 12 1
53 12 7
67 12 1
70 12 11
75 12 25
76 12 1
77 12 1
99 12 1
133 12 1
0 13 21
1 13 5
2 13 3
3 13 2
4 13 22
5 13 1
6 13 8
7 13 3
8 13 6
9 13 1
10 13 14
11 13 18
12 13 17
13 13 198
14 13 1
15 13 1
18 13 3
19 13 9
20 13 28
22 13 3
23 13 3
24 13 8
27 13 4
28 13 19
29 13 11
30 13 2
33 13 1
36 13 6
38 13 1
42 13 5
43 13 1
49 13 1
52 13 1
53 13 1
69 13 1
80 13 1
83 13 3
85 13 1
90 13 4
93 13 5
99 13 1
106 13 1
117 13 1
120 13 1
131 13 1
149 13 1
0 14 1
1 14 1
5 14 1
10 14 2
13 14 5
14 14 382
22 14 1
42 14 1
43 14 1
0 15 2
1 15 2
4 15 5
5 15 1
7 15 1
10 15 1
11 15 2
12 15 1
13 15 5
15 15 370
36 15 1
0 16 16
1 16 3
2 16 3
4 16 25
8 16 2
11 16 19
12 16 1
16 16 393
27 16 3
29 16 1
30 16 1
83 16 1
104 16 1
0 17 9
8 17 42
16 17 2
17 17 67
32 17 5
35 17 2
118 17 1
0 18 4
1 18 1
3 18 1
10 18 3
13 18 3
25 18 1
27 18 2
68 18 1
0 19 1
1 19 2
13 19 4
19 19 34
20 19 1
23 19 1
0 20 10
1 20 39
10 20 1
11 20 1
13 20 11
19 20 9
20 20 393
23 20 2
27 20 6
28 20 2
36 20 65
37 20 16
42 20 28
43 20 3
45 20 6
48 20 2
49 20 4
52 20 2
66 20 6
87 20 4
91 20 3
106 20 16
139 20 4
146 20 1
0 22 8
1 22 4
3 22 3
4 22 15
5 22 5
7 22 20
8 22 1
10 22 12
11 22 13
12 22 16
13 22 28
17 22 1
18 22 1
20 22 1
22 22 391
24 22 11
27 22 5
28 22 2
29 22 4
30 22 2
47 22 5
74 22 1
75 22 3
76 22 1
83 22 1
85 22 3
115 22 2
120 22 2
148 22 1
0 23 22
1 23 3
4 23 1
8 23 1
10 23 5
11 23 4
13 23 14
23 23 392
25 23 1
29 23 1
33 23 34
42 23 17
43 23 6
44 23 19
73 23 1
79 23 1
93 23 1
94 23 2
110 23 1
163 23 1
0 24 3
1 24 2
2 24 1
3 24 1
4 24 1
5 24 1
6 24 1
7 24 1
8 24 2
10 24 2
11 24 2
12 24 2
13 24 2
18 24 2
24 24 3
27 24 3
29 24 1
70 24 1
75 24 1
76 24 1
115 24 1
1 25 2
4 25 1
10 25 1
11 25 1
25 25 1
6 26 5
8 26 2
10 26 13
12 26 2
24 26 1
26 26 388
47 26 2
85 26 1
119 26 1
0 27 15
1 27 2
2 27 1
4 27 91
6 27 2
7 27 3
8 27 36
10 27 7
11 27 105
12 27 1
13 27 2
16 27 3
20 27 2
22 27 2
24 27 1
27 27 221
28 27 8
29 27 28
30 27 2
35 27 3
36 27 32
42 27 1
47 27 2
69 27 1
70 27 1
74 27 2
78 27 1
104 27 1
0 28 2
2 28 1
4 28 23
8 28 2
10 28 4
11 28 11
12 28 1
13 28 11
22 28 3
24 28 1
26 28 1
27 28 12
28 28 14
29 28 5
35 28 1
36 28 3
83 28 1
91 28 1
93 28 1
97 28 1
0 29 5
1 29 1
2 29 9
4 29 59
5 29 1
8 29 2
10 29 5
11 29 11
12 29 1
13 29 12
16 29 1
18 29 1
22 29 1
24 29 1
27 29 20
28 29 1
29 29 119
30 29 1
35 29 5
42 29 1
85 29 1
0 30 1
4 30 4
10 30 3
11 30 4
12 30 5
13 30 8
30 30 200
4 31 2
0 32 2
1 32 16
8 32 2
13 32 1
14 32 1
22 32 1
27 32 1
32 32 385
1 33 2
11 33 1
13 33 1
23 33 20
33 33 351
42 33 1
0 34 11
1 34 2
10 34 1
16 34 1
18 34 1
20 34 1
34 34 391
93 34 1
0 35 5
1 35 1
2 35 2
4 35 83
8 35 20
11 35 20
13 35 3
22 35 2
24 35 1
27 35 5
29 35 16
32 35 1
35 35 391
40 35 1
47 35 10
4 36 1
7 36 1
13 36 3
20 36 39
27 36 27
28 36 2
29 36 1
36 36 195
37 36 9
39 36 3
42 36 13
45 36 2
48 36 1
49 36 1
87 36 1
91 36 21
95 36 2
101 36 1
113 36 2
12 37 2
13 37 11
20 37 5
36 37 23
37 37 388
38 37 23
42 37 19
45 37 1
146 37 1
152 37 1
13 38 4
20 38 2
36 38 2
38 38 1
0 39 5
8 39 1
10 39 1
36 39 1
39 39 2
93 39 1
0 40 3
1 40 6
8 40 31
23 40 1
26 40 1
32 40 2
40 40 352
41 40 1
57 40 1
61 40 1
74 40 1
79 40 1
81 40 1
86 40 3
100 40 2
115 40 1
1 41 2
4 41 3
8 41 11
11 41 1
12 41 1
13 41 1
27 41 2
28 41 1
29 41 1
32 41 2
41 41 351
55 41 1
0 42 1
4 42 1
13 42 2
20 42 9
23 42 4
27 42 1
36 42 13
37 42 2
38 42 1
42 42 137
45 42 4
66 42 5
87 42 2
91 42 1
101 42 1
0 43 8
1 43 3
20 43 1
23 43 6
33 43 1
43 43 290
13 44 2
23 44 6
44 44 229
12 45 1
36 45 1
42 45 2
45 45 18
0 46 1
1 46 1
4 46 1
8 46 1
10 46 4
12 46 1
24 46 2
46 46 388
47 46 5
90 46 1
154 46 1
1 47 19
6 47 6
8 47 148
14 47 12
16 47 2
22 47 33
26 47 1
32 47 15
35 47 6
41 47 1
43 47 2
46 47 7
47 47 391
50 47 7
55 47 5
56 47 5
57 47 4
74 47 3
76 47 2
78 47 15
79 47 16
81 47 5
82 47 2
86 47 1
96 47 2
101 47 1
102 47 4
115 47 1
128 47 1
133 47 2
142 47 3
143 47 1
144 47 1
149 47 6
154 47 4
161 47 1
176 47 1
185 47 1
186 47 1
193 47 1
83 48 2
13 49 3
20 49 1
28 49 1
36 49 3
38 49 1
45 49 1
49 49 342
52 49 2
7 50 3
12 50 10
13 50 3
47 50 4
50 50 382
53 50 5
75 50 1
12 51 10
47 51 5
50 51 1
51 51 344
53 51 6
13 52 2
20 52 2
36 52 1
42 52 2
52 52 13
0 53 2
12 53 22
13 53 1
22 53 2
29 53 1
53 53 1
70 53 4
75 53 2
0 54 1
1 54 2
8 54 2
11 54 1
19 54 1
54 54 344
0 55 1
1 55 3
13 55 1
47 55 2
55 55 348
1 56 2
8 56 2
10 56 1
11 56 1
13 56 2
28 56 1
56 56 385
1 57 1
8 57 5
20 57 1
40 57 2
57 57 322
13 58 2
58 58 23
59 59 134
0 60 4
1 60 1
60 60 36
4 61 1
8 61 8
10 61 1
13 61 1
47 61 2
61 61 149
119 61 1
0 62 1
1 62 3
8 62 4
62 62 53
132 62 1
63 63 1
97 63 2
6 64 1
29 64 1
13 65 1
23 65 1
42 65 1
65 65 82
66 66 327
11 68 1
36 68 2
0 69 1
2 69 9
4 69 55
7 69 3
11 69 23
16 69 3
29 69 2
69 69 385
70 69 3
0 70 1
2 70 5
4 70 29
7 70 1
8 70 2
10 70 2
11 70 22
12 70 18
20 70 1
29 70 6
36 70 3
50 70 2
53 70 1
70 70 104
0 71 1
1 71 2
4 71 1
12 71 1
13 71 1
14 71 1
47 71 1
71 71 90
77 71 1
100 71 1
131 71 4
136 71 1
72 72 6
33 73 1
73 73 20
4 74 1
10 74 1
11 74 2
12 74 3
13 74 1
27 74 1
29 74 3
47 74 2
74 74 323
0 75 1
12 75 28
42 75 1
53 75 4
77 75 1
0 76 1
4 76 1
12 76 2
13 76 1
24 76 1
76 76 326
4 77 5
7 77 1
11 77 1
12 77 3
13 77 1
27 77 2
28 77 1
29 77 2
77 77 1
150 77 1
1 78 1
4 78 1
8 78 5
11 78 4
13 78 1
22 78 1
32 78 1
47 78 1
55 78 1
78 78 360
120 78 1
0 79 1
1 79 1
4 79 3
8 79 4
11 79 1
13 79 2
27 79 2
32 79 1
47 79 9
55 79 1
79 79 373
13 80 2
108 80 2
1 81 2
3 81 1
5 81 1
6 81 4
8 81 1
10 81 10
13 81 1
29 81 1
32 81 1
42 81 1
47 81 1
63 81 1
81 81 364
97 81 1
102 81 1
119 81 1
4 82 1
10 82 1
47 82 1
82 82 374
6 83 1
13 83 1
48 83 3
83 83 8
1 84 6
84 84 13
9 85 1
85 85 1
8 86 6
40 86 2
47 86 3
86 86 187
13 87 1
27 87 2
42 87 20
52 87 1
87 87 259
93 87 1
89 89 288
4 90 1
6 90 2
10 90 1
12 90 1
13 90 2
90 90 28
120 90 1
20 91 1
27 91 1
28 91 1
36 91 39
37 91 1
91 91 391
92 92 23
4 93 1
10 93 1
11 93 1
12 93 1
13 93 2
20 93 1
22 93 1
68 93 1
90 93 1
93 93 5
33 94 1
94 94 198
0 95 1
13 95 1
36 95 4
37 95 2
42 95 2
95 95 317
1 96 3
8 96 8
12 96 1
40 96 1
47 96 1
96 96 287
27 97 1
63 97 3
97 97 1
4 98 3
11 98 5
98 98 299
11 99 1
50 99 1
99 99 1
1 100 2
8 100 1
12 100 1
13 100 1
24 100 1
40 100 2
47 100 1
100 100 227
1 101 1
20 101 1
36 101 2
70 101 1
101 101 345
6 102 1
8 102 1
10 102 3
13 102 1
22 102 1
24 102 4
47 102 2
102 102 323
103 103 34
0 104 2
4 104 1
24 104 1
28 104 1
104 104 181
120 104 1
105 105 391
13 106 1
106 106 391
13 108 2
80 108 1
108 108 2
2 109 1
109 109 175
33 110 1
42 110 1
110 110 50
83 111 1
36 113 19
45 113 1
113 113 344
1 114 1
2 114 1
4 114 2
47 114 1
114 114 216
0 115 1
1 115 1
4 115 1
8 115 2
10 115 1
11 115 1
12 115 1
13 115 1
27 115 1
40 115 1
41 115 1
115 115 256
116 116 201
10 117 1
1 118 2
10 118 2
118 118 289
1 119 3
8 119 18
16 119 1
20 119 1
22 119 3
30 119 1
32 119 4
41 119 1
55 119 2
78 119 1
79 119 1
81 119 1
96 119 1
102 119 1
119 119 96
124 119 1
150 119 1
181 119 1
120 120 1
121 121 4
122 122 55
1 124 1
20 124 1
124 124 208
33 125 3
125 125 4
126 126 64
127 127 77
0 128 2
36 128 2
128 128 381
13 129 1
129 129 1
130 130 103
7 131 1
71 131 6
131 131 2
0 132 1
1 132 5
8 132 2
34 132 2
132 132 75
7 133 1
27 133 1
47 133 1
133 133 330
8 134 1
28 135 1
135 135 387
136 136 10
124 137 1
137 137 382
140 140 385
42 141 1
141 141 190
47 142 1
128 142 1
142 142 336
0 143 1
6 143 1
14 143 2
143 143 52
8 144 4
144 144 22
0 145 2
1 145 1
8 145 1
14 145 1
145 145 120
38 146 1
146 146 1
13 147 1
147 147 5
71 149 1
149 149 370
8 150 1
150 150 44
10 151 1
24 151 2
151 151 166
153 153 95
10 154 1
154 154 320
1 155 1
155 155 100
156 156 13
161 161 32
0 162 1
8 162 2
163 163 38
1 164 1
33 164 1
164 164 33
165 165 136
8 166 2
13 167 1
167 167 32
168 168 15
169 169 84
170 170 8
171 171 12
172 172 12
1 173 2
8 173 1
173 173 44
1 174 1
174 174 70
1 175 1
32 175 1
175 175 32
176 176 91
178 178 48
0 179 1
8 179 3
179 179 2
181 181 44
182 182 17
33 183 1
184 184 36
185 185 57
10 186 1
186 186 34
8 187 1
187 187 8
1 188 1
188 188 86
1 189 1
190 190 5
191 191 10
192 192 2
193 193 150
194 194 1
196 196 13
198 198 3
199 199 51
66 201 1
201 201 39
0 203 1
203 203 36
204 204 1
205 205 3
206 206 14
207 207 5
66 208 1
208 208 165
1 209 1
210 210 8
211 211 1
212 212 1
213 213 6
214 214 10
215 215 12
216 216 54
217 217 8
218 218 12
