,crps,calibration_score,beta,rho
0,33.338785964912276,0.6081140350877192,0.005,0.05
0,30.67212807017544,0.6081140350877192,0.01,0.05
0,27.9821350877193,0.6037280701754386,0.015,0.05
0,25.626982456140347,0.5949561403508772,0.02,0.05
0,23.463087719298244,0.581798245614035,0.025,0.05
0,21.772215789473684,0.5598684210526316,0.030000000000000002,0.05
0,20.469542105263155,0.537938596491228,0.034999999999999996,0.05
0,18.970459649122812,0.5379385964912281,0.04,0.05
0,30.45444385964912,0.6081140350877192,0.005,0.060000000000000005
0,27.16175263157895,0.6037280701754386,0.01,0.060000000000000005
0,23.84616140350877,0.5861842105263158,0.015,0.060000000000000005
0,21.45447192982456,0.5554824561403509,0.02,0.060000000000000005
0,19.214635087719294,0.5291666666666667,0.025,0.060000000000000005
0,17.22671052631579,0.5028508771929825,0.030000000000000002,0.060000000000000005
0,15.819694736842106,0.45899122807017545,0.034999999999999996,0.060000000000000005
0,14.465791228070174,0.42390350877192984,0.04,0.060000000000000005
0,27.46945087719298,0.5993421052631579,0.005,0.07
0,23.67912105263158,0.5905701754385965,0.01,0.07
0,20.22436666666667,0.5379385964912281,0.015,0.07
0,17.35815614035088,0.4984649122807018,0.02,0.07
0,15.076822807017543,0.43706140350877193,0.025,0.07
0,13.352559649122808,0.3975877192982456,0.030000000000000002,0.07
0,12.23082105263158,0.37127192982456136,0.034999999999999996,0.07
0,11.16624561403509,0.30548245614035086,0.04,0.07
0,24.652991228070174,0.581798245614035,0.005,0.08000000000000002
0,20.33347543859649,0.5379385964912281,0.01,0.08000000000000002
0,16.954229824561402,0.4984649122807018,0.015,0.08000000000000002
0,14.101857894736842,0.4107456140350877,0.02,0.08000000000000002
0,12.029770175438594,0.3449561403508772,0.025,0.08000000000000002
0,10.768282456140351,0.30109649122807014,0.030000000000000002,0.08000000000000002
0,10.074850877192981,0.26600877192982453,0.034999999999999996,0.08000000000000002
0,9.678657894736842,0.25723684210526315,0.04,0.08000000000000002
0,21.77381228070176,0.5642543859649123,0.005,0.09000000000000001
0,17.44771403508772,0.5072368421052632,0.01,0.09000000000000001
0,13.886807017543857,0.4107456140350877,0.015,0.09000000000000001
0,11.466501754385964,0.3581140350877193,0.02,0.09000000000000001
0,10.19732456140351,0.2879385964912281,0.025,0.09000000000000001
0,9.603273684210524,0.23530701754385966,0.030000000000000002,0.09000000000000001
0,9.757821052631579,0.26600877192982453,0.034999999999999996,0.09000000000000001
0,10.08551754385965,0.2660087719298246,0.04,0.09000000000000001
0,19.272715789473686,0.537938596491228,0.005,0.1
0,14.731887719298246,0.42828947368421055,0.01,0.1
0,11.53248245614035,0.3449561403508772,0.015,0.1
0,9.843808771929824,0.27478070175438596,0.02,0.1
0,9.388033333333334,0.24407894736842106,0.025,0.1
0,10.03421403508772,0.26600877192982453,0.030000000000000002,0.1
0,10.801666666666666,0.2660087719298246,0.034999999999999996,0.1
0,11.992294736842105,0.30986842105263157,0.04,0.1
0,16.658050877192984,0.4809210526315789,0.005,0.11000000000000001
0,12.329015789473683,0.36250000000000004,0.01,0.11000000000000001
0,9.920384210526317,0.27478070175438596,0.015,0.11000000000000001
0,9.354966666666668,0.24407894736842106,0.02,0.11000000000000001
0,9.937470175438596,0.23530701754385966,0.025,0.11000000000000001
0,11.275226315789475,0.2967105263157894,0.030000000000000002,0.11000000000000001
0,13.075750877192982,0.30986842105263157,0.034999999999999996,0.11000000000000001
0,15.13089298245614,0.3537280701754386,0.04,0.11000000000000001
0,14.439645614035088,0.40197368421052626,0.005,0.12000000000000001
0,10.694452631578947,0.30986842105263157,0.01,0.12000000000000001
0,9.176912280701755,0.23530701754385963,0.015,0.12000000000000001
0,9.804064912280703,0.26600877192982453,0.02,0.12000000000000001
0,11.527180701754384,0.2879385964912281,0.025,0.12000000000000001
0,14.084147368421053,0.3581140350877193,0.030000000000000002,0.12000000000000001
0,16.82970175438596,0.406359649122807,0.034999999999999996,0.12000000000000001
0,19.16174385964912,0.4326754385964912,0.04,0.12000000000000001
0,12.527050877192982,0.3581140350877193,0.005,0.13
0,9.665459649122807,0.2835526315789474,0.01,0.13
0,9.51896842105263,0.23530701754385966,0.015,0.13
0,11.225538596491226,0.27478070175438596,0.02,0.13
0,14.100426315789475,0.3537280701754386,0.025,0.13
0,17.396442105263162,0.41513157894736846,0.030000000000000002,0.13
0,20.800124561403507,0.47653508771929826,0.034999999999999996,0.13
0,24.02408947368421,0.5160087719298245,0.04,0.13
0,10.8187649122807,0.3010964912280702,0.005,0.14
0,9.236457894736843,0.24407894736842106,0.01,0.14
0,10.28760701754386,0.24846491228070175,0.015,0.14
0,13.430487719298247,0.3274122807017544,0.02,0.14
0,17.33275789473684,0.4151315789473684,0.025,0.14
0,21.361105263157896,0.47214912280701754,0.030000000000000002,0.14
0,25.45809649122807,0.5291666666666667,0.034999999999999996,0.14
0,28.90104912280702,0.5554824561403509,0.04,0.14
0,9.78552807017544,0.2967105263157895,0.005,0.15000000000000002
0,9.156819298245614,0.22653508771929826,0.01,0.15000000000000002
0,12.030684210526315,0.30109649122807014,0.015,0.15000000000000002
0,16.210622807017543,0.3844298245614035,0.02,0.15000000000000002
0,21.149584210526317,0.49407894736842106,0.025,0.15000000000000002
0,25.89261228070176,0.5423245614035088,0.030000000000000002,0.15000000000000002
0,30.16045964912281,0.568640350877193,0.034999999999999996,0.15000000000000002
0,34.139547368421056,0.5817982456140351,0.04,0.15000000000000002
0,9.122200000000001,0.23969298245614035,0.005,0.16000000000000003
0,10.213070175438594,0.26600877192982453,0.01,0.16000000000000003
0,14.131103508771929,0.3449561403508772,0.015,0.16000000000000003
0,19.69926140350877,0.46776315789473677,0.02,0.16000000000000003
0,25.28636140350877,0.5335526315789474,0.025,0.16000000000000003
0,30.05826842105263,0.568640350877193,0.030000000000000002,0.16000000000000003
0,35.18044736842105,0.5817982456140351,0.034999999999999996,0.16000000000000003
0,39.21021052631579,0.581798245614035,0.04,0.16000000000000003
0,8.986526315789472,0.23530701754385966,0.005,0.17000000000000004
0,11.461371929824562,0.29232456140350876,0.01,0.17000000000000004
0,16.87834385964912,0.4107456140350877,0.015,0.17000000000000004
0,23.212136842105267,0.5116228070175438,0.02,0.17000000000000004
0,29.205559649122804,0.5510964912280703,0.025,0.17000000000000004
0,34.8779,0.5817982456140351,0.030000000000000002,0.17000000000000004
0,39.88791228070176,0.581798245614035,0.034999999999999996,0.17000000000000004
0,44.43641929824562,0.5774122807017543,0.04,0.17000000000000004
0,9.291294736842106,0.24407894736842103,0.005,0.18000000000000005
0,13.125098245614033,0.3230263157894737,0.01,0.18000000000000005
0,19.772578947368423,0.4853070175438597,0.015,0.18000000000000005
0,26.984185964912278,0.5510964912280703,0.02,0.18000000000000005
0,33.81727368421053,0.5817982456140351,0.025,0.18000000000000005
0,39.38135263157894,0.5774122807017543,0.030000000000000002,0.18000000000000005
0,44.77598421052632,0.581798245614035,0.034999999999999996,0.18000000000000005
0,49.92177543859649,0.5861842105263158,0.04,0.18000000000000005
0,9.871792982456139,0.24407894736842106,0.005,0.19
0,15.44181754385965,0.3888157894736842,0.01,0.19
0,23.181770175438597,0.5072368421052631,0.015,0.19
0,30.752294736842103,0.5642543859649123,0.02,0.19
0,37.680875438596495,0.5730263157894737,0.025,0.19
0,44.123014035087714,0.5861842105263158,0.030000000000000002,0.19
0,49.726647368421055,0.5774122807017543,0.034999999999999996,0.19
0,55.007207017543855,0.5730263157894737,0.04,0.19
0,11.101640350877194,0.29232456140350876,0.005,0.2
0,17.744585964912282,0.450219298245614,0.01,0.2
0,26.5011649122807,0.5467105263157894,0.015,0.2
0,34.82964736842106,0.5817982456140351,0.02,0.2
0,41.97437543859648,0.5861842105263158,0.025,0.2
0,48.58778596491228,0.5774122807017544,0.030000000000000002,0.2
0,55.03258070175439,0.5774122807017544,0.034999999999999996,0.2
0,60.42233859649123,0.568640350877193,0.04,0.2
