,crps,calibration_score,beta,rho
0,3.891422807017544,0.3142543859649123,0.005,0.02
0,3.2640964912280706,0.23092105263157894,0.01,0.02
0,2.8085105263157897,0.15197368421052632,0.015,0.02
0,2.4392771929824564,0.09714912280701753,0.02,0.02
0,2.0954877192982453,0.07960526315789473,0.005,0.04
0,2.357578947368421,0.08399122807017545,0.01,0.04
0,3.1205210526315788,0.18706140350877193,0.015,0.04
0,4.109315789473684,0.23530701754385966,0.02,0.04
0,3.4848,0.19583333333333333,0.005,0.06
0,5.29360350877193,0.30109649122807014,0.01,0.06
0,7.389540350877193,0.40635964912280703,0.015,0.06
0,9.573071929824561,0.45899122807017545,0.02,0.06
0,6.531952631578948,0.3800438596491228,0.005,0.08
0,9.553556140350876,0.4546052631578947,0.01,0.08
0,12.728954385964913,0.5028508771929825,0.015,0.08
0,15.896068421052632,0.524780701754386,0.02,0.08
0,10.161236842105264,0.4809210526315789,0.005,0.1
0,14.206108771929825,0.5028508771929825,0.01,0.1
0,18.429964912280703,0.5335526315789474,0.015,0.1
0,22.451042105263156,0.5467105263157894,0.02,0.1
