,crps,calibration_score,beta,rho
0,1.8328087719298245,0.12346491228070175,0.005,0.02
0,1.7457438596491226,0.08618421052631578,0.01,0.02
0,1.852882456140351,0.08399122807017545,0.015,0.02
0,2.0271526315789474,0.10592105263157896,0.02,0.02
0,2.3617631578947367,0.11469298245614033,0.005,0.04
0,3.3663508771929824,0.19583333333333333,0.01,0.04
0,4.516970175438596,0.2967105263157895,0.015,0.04
0,5.7163315789473685,0.3800438596491228,0.02,0.04
0,4.828328070175439,0.32741228070175443,0.005,0.06
0,6.817750877192982,0.4151315789473684,0.01,0.06
0,8.959598245614036,0.4809210526315789,0.015,0.06
0,10.968159649122805,0.5116228070175439,0.02,0.06
0,7.907514035087719,0.4633771929824561,0.005,0.08
0,10.76671403508772,0.5160087719298245,0.01,0.08
0,13.796654385964914,0.5423245614035088,0.015,0.08
0,16.67405789473684,0.5642543859649123,0.02,0.08
0,11.248543859649121,0.5291666666666666,0.005,0.1
0,15.154029824561404,0.5423245614035088,0.01,0.1
0,18.73491754385965,0.568640350877193,0.015,0.1
0,22.467808771929825,0.5774122807017543,0.02,0.1
