,crps,calibration_score,beta,rho
0,14.758103508771931,0.5949561403508772,0.005,0.05
0,13.449729824561404,0.5861842105263158,0.01,0.05
0,12.019198245614035,0.5598684210526316,0.015,0.05
0,10.720814035087718,0.5335526315789474,0.02,0.05
0,9.572807017543859,0.48530701754385963,0.025,0.05
0,8.532240350877192,0.4151315789473684,0.030000000000000002,0.05
0,7.590133333333334,0.3668859649122807,0.034999999999999996,0.05
0,6.878228070175439,0.2967105263157895,0.04,0.05
0,13.634914035087718,0.5817982456140351,0.005,0.060000000000000005
0,11.968643859649122,0.5554824561403509,0.01,0.060000000000000005
0,10.446747368421052,0.524780701754386,0.015,0.060000000000000005
0,9.029040350877192,0.46337719298245617,0.02,0.060000000000000005
0,7.820545614035089,0.3625,0.025,0.060000000000000005
0,6.879991228070175,0.29232456140350876,0.030000000000000002,0.060000000000000005
0,6.141287719298246,0.24407894736842106,0.034999999999999996,0.060000000000000005
0,5.756447368421053,0.21776315789473685,0.04,0.060000000000000005
0,12.49399649122807,0.5730263157894737,0.005,0.07
0,10.707243859649124,0.537938596491228,0.01,0.07
0,9.063838596491227,0.4677631578947369,0.015,0.07
0,7.574421052631579,0.35811403508771933,0.02,0.07
0,6.517619298245614,0.27039473684210524,0.025,0.07
0,5.864073684210527,0.24846491228070175,0.030000000000000002,0.07
0,5.522656140350877,0.21337719298245614,0.034999999999999996,0.07
0,5.563880701754386,0.2660087719298246,0.04,0.07
0,11.368729824561406,0.5642543859649123,0.005,0.08000000000000002
0,9.45742456140351,0.49407894736842106,0.01,0.08000000000000002
0,7.790917543859648,0.3932017543859649,0.015,0.08000000000000002
0,6.417256140350877,0.2791666666666667,0.02,0.08000000000000002
0,5.724342105263157,0.20899122807017542,0.025,0.08000000000000002
0,5.553292982456141,0.21776315789473685,0.030000000000000002,0.08000000000000002
0,5.643336842105263,0.2660087719298246,0.034999999999999996,0.08000000000000002
0,6.135654385964911,0.318640350877193,0.04,0.08000000000000002
0,10.445157894736843,0.5203947368421052,0.005,0.09000000000000001
0,8.278522807017543,0.43706140350877193,0.01,0.09000000000000001
0,6.72068596491228,0.30986842105263157,0.015,0.09000000000000001
0,5.772536842105263,0.22653508771929826,0.02,0.09000000000000001
0,5.473531578947369,0.21337719298245614,0.025,0.09000000000000001
0,5.736366666666666,0.27478070175438596,0.030000000000000002,0.09000000000000001
0,6.272608771929824,0.33618421052631575,0.034999999999999996,0.09000000000000001
0,7.183142105263159,0.3712719298245614,0.04,0.09000000000000001
0,9.337817543859648,0.49407894736842106,0.005,0.1
0,7.337968421052632,0.35811403508771933,0.01,0.1
0,5.9046315789473685,0.22214912280701757,0.015,0.1
0,5.459343859649122,0.20460526315789473,0.02,0.1
0,5.565587719298246,0.25285087719298244,0.025,0.1
0,6.360814035087719,0.33618421052631575,0.030000000000000002,0.1
0,7.349398245614036,0.37127192982456136,0.034999999999999996,0.1
0,8.700287719298245,0.3975877192982456,0.04,0.1
0,8.48141403508772,0.45460526315789473,0.005,0.11000000000000001
0,6.501326315789473,0.27478070175438596,0.01,0.11000000000000001
0,5.431954385964912,0.19144736842105264,0.015,0.11000000000000001
0,5.465901754385966,0.24407894736842106,0.02,0.11000000000000001
0,6.222205263157894,0.3230263157894737,0.025,0.11000000000000001
0,7.300650877192983,0.3932017543859649,0.030000000000000002,0.11000000000000001
0,8.710405263157893,0.3932017543859649,0.034999999999999996,0.11000000000000001
0,10.439342105263158,0.42390350877192984,0.04,0.11000000000000001
0,7.621957894736843,0.3800438596491228,0.005,0.12000000000000001
0,5.801864912280701,0.20899122807017545,0.01,0.12000000000000001
0,5.398384210526316,0.20899122807017545,0.015,0.12000000000000001
0,5.7887508771929825,0.2967105263157895,0.02,0.12000000000000001
0,7.089315789473685,0.3756578947368421,0.025,0.12000000000000001
0,8.62410701754386,0.4019736842105263,0.030000000000000002,0.12000000000000001
0,10.501843859649123,0.4195175438596491,0.034999999999999996,0.12000000000000001
0,12.443864912280702,0.4589912280701754,0.04,0.12000000000000001
0,6.842398245614035,0.3142543859649123,0.005,0.13
0,5.358235087719299,0.18706140350877193,0.01,0.13
0,5.360857894736842,0.24407894736842106,0.015,0.13
0,6.399740350877192,0.3361842105263158,0.02,0.13
0,8.040040350877192,0.3975877192982456,0.025,0.13
0,10.044619298245614,0.4195175438596491,0.030000000000000002,0.13
0,12.225110526315788,0.4589912280701754,0.034999999999999996,0.13
