,crps,calibration_score,beta,rho
0,14.602807017543858,0.5949561403508772,0.005,0.05
0,13.754438596491228,0.5861842105263158,0.01,0.05
0,13.007373684210526,0.581798245614035,0.015,0.05
0,12.230742105263158,0.5598684210526316,0.02,0.05
0,11.451766666666668,0.5291666666666667,0.025,0.05
0,10.77791754385965,0.5028508771929825,0.030000000000000002,0.05
0,9.976478947368422,0.4677631578947368,0.034999999999999996,0.05
0,9.359159649122809,0.42390350877192984,0.04,0.05
0,13.99329298245614,0.5861842105263158,0.005,0.060000000000000005
0,13.057559649122807,0.5774122807017543,0.01,0.060000000000000005
0,12.098238596491228,0.5598684210526316,0.015,0.060000000000000005
0,11.188073684210526,0.5291666666666667,0.02,0.060000000000000005
0,10.34107543859649,0.47214912280701754,0.025,0.060000000000000005
0,9.525236842105263,0.43267543859649127,0.030000000000000002,0.060000000000000005
0,8.755649122807018,0.3800438596491228,0.034999999999999996,0.060000000000000005
0,8.132926315789474,0.3493421052631579,0.04,0.060000000000000005
0,13.309264912280701,0.5774122807017543,0.005,0.07
0,12.203178947368421,0.5554824561403509,0.01,0.07
0,11.218556140350877,0.5203947368421052,0.015,0.07
0,10.14271754385965,0.47214912280701754,0.02,0.07
0,9.25121052631579,0.4107456140350877,0.025,0.07
0,8.431798245614035,0.3668859649122807,0.030000000000000002,0.07
0,7.758759649122806,0.3317982456140351,0.034999999999999996,0.07
0,7.038012280701755,0.2791666666666667,0.04,0.07
0,12.702521052631578,0.5730263157894737,0.005,0.08000000000000002
0,11.528089473684211,0.5291666666666667,0.01,0.08000000000000002
0,10.319085964912283,0.47653508771929826,0.015,0.08000000000000002
0,9.291659649122806,0.42828947368421055,0.02,0.08000000000000002
0,8.355373684210527,0.3537280701754386,0.025,0.08000000000000002
0,7.550384210526317,0.2879385964912281,0.030000000000000002,0.08000000000000002
0,6.80438947368421,0.24846491228070175,0.034999999999999996,0.08000000000000002
0,6.234340350877193,0.22214912280701754,0.04,0.08000000000000002
0,12.122345614035089,0.5554824561403509,0.005,0.09000000000000001
0,10.833029824561404,0.5116228070175439,0.01,0.09000000000000001
0,9.535291228070177,0.42828947368421055,0.015,0.09000000000000001
0,8.414903508771928,0.3537280701754386,0.02,0.09000000000000001
0,7.51990350877193,0.2879385964912281,0.025,0.09000000000000001
0,6.6203824561403515,0.23530701754385966,0.030000000000000002,0.09000000000000001
0,6.124624561403509,0.21776315789473683,0.034999999999999996,0.09000000000000001
0,5.700022807017544,0.20460526315789476,0.04,0.09000000000000001
0,11.572273684210526,0.524780701754386,0.005,0.1
0,10.128429824561405,0.4677631578947368,0.01,0.1
0,8.795671929824561,0.3844298245614035,0.015,0.1
0,7.701054385964912,0.318640350877193,0.02,0.1
0,6.8026017543859645,0.23092105263157894,0.025,0.1
0,6.091950877192983,0.23092105263157894,0.030000000000000002,0.1
0,5.739147368421053,0.21337719298245617,0.034999999999999996,0.1
0,5.4984473684210515,0.20460526315789473,0.04,0.1
0,11.00201403508772,0.5116228070175438,0.005,0.11000000000000001
0,9.456812280701755,0.4326754385964912,0.01,0.11000000000000001
0,8.110354385964913,0.3449561403508772,0.015,0.11000000000000001
0,7.023178947368421,0.27478070175438596,0.02,0.11000000000000001
0,6.219712280701754,0.21776315789473685,0.025,0.11000000000000001
0,5.75419649122807,0.21337719298245617,0.030000000000000002,0.11000000000000001
0,5.3738245614035085,0.20460526315789473,0.034999999999999996,0.11000000000000001
0,5.448154385964912,0.18267543859649124,0.04,0.11000000000000001
0,10.400152631578946,0.47214912280701754,0.005,0.12000000000000001
0,8.801675438596492,0.39758771929824566,0.01,0.12000000000000001
0,7.474880701754386,0.3010964912280702,0.015,0.12000000000000001
0,6.536510526315789,0.24407894736842106,0.02,0.12000000000000001
0,5.789352631578947,0.19144736842105264,0.025,0.12000000000000001
0,5.5779508771929835,0.23530701754385966,0.030000000000000002,0.12000000000000001
0,5.443152631578948,0.19144736842105264,0.034999999999999996,0.12000000000000001
0,5.751114035087719,0.23969298245614037,0.04,0.12000000000000001
0,9.819833333333335,0.4458333333333333,0.005,0.13
0,8.265215789473684,0.3493421052631579,0.01,0.13
0,7.034494736842104,0.2528508771929825,0.015,0.13
0,6.059240350877192,0.22653508771929823,0.02,0.13
0,5.507440350877192,0.21776315789473683,0.025,0.13
0,5.3481543859649125,0.19583333333333333,0.030000000000000002,0.13
0,5.66439649122807,0.20460526315789473,0.034999999999999996,0.13
0,6.16811403508772,0.23530701754385966,0.04,0.13
0,9.382026315789474,0.4195175438596491,0.005,0.14
0,7.729964912280701,0.30986842105263157,0.01,0.14
0,6.522498245614036,0.26162280701754387,0.015,0.14
0,5.758856140350877,0.21776315789473685,0.02,0.14
0,5.476045614035088,0.20460526315789476,0.025,0.14
0,5.49689298245614,0.20899122807017545,0.030000000000000002,0.14
0,6.085342105263158,0.25285087719298244,0.034999999999999996,0.14
0,6.8322315789473675,0.27478070175438596,0.04,0.14
0,8.855450877192983,0.3800438596491228,0.005,0.15000000000000002
0,7.259805263157895,0.27039473684210524,0.01,0.15000000000000002
0,6.15677894736842,0.20021929824561405,0.015,0.15000000000000002
0,5.575103508771929,0.20899122807017545,0.02,0.15000000000000002
0,5.436694736842106,0.20899122807017545,0.025,0.15000000000000002
