,crps,calibration_score,beta,rho
0,4.229236842105263,0.33618421052631575,0.005,0.02
0,3.484980701754386,0.23530701754385966,0.01,0.02
0,3.0201105263157895,0.20021929824561402,0.015,0.02
0,2.555017543859649,0.1256578947368421,0.02,0.02
0,2.4278736842105264,0.08179824561403509,0.005,0.04
0,2.777892982456141,0.09276315789473685,0.01,0.04
0,3.769605263157895,0.17828947368421055,0.015,0.04
0,4.864814035087719,0.25723684210526315,0.02,0.04
0,4.430847368421053,0.24407894736842106,0.005,0.06
0,6.747926315789473,0.38004385964912285,0.01,0.06
0,9.165952631578946,0.45460526315789473,0.015,0.06
0,11.569894736842105,0.5160087719298245,0.02,0.06
0,8.492691228070177,0.4414473684210527,0.005,0.08
0,12.042259649122805,0.4984649122807018,0.01,0.08
0,15.685252631578948,0.5160087719298245,0.015,0.08
0,19.04178947368421,0.5203947368421054,0.02,0.08
0,13.126784210526317,0.5072368421052631,0.005,0.1
0,17.737247368421055,0.5203947368421054,0.01,0.1
0,22.14126140350877,0.5291666666666667,0.015,0.1
0,26.44878947368421,0.537938596491228,0.02,0.1
